iid,title,state,labels,kind,status,priority,modules,owner_agents,test_types,validation_commands,blocked_by,updated_at,web_url,content_hash
"49","design: codify expected-state contracts and human-in-the-loop mismatch handling across governance skills","closed","area/context; area/docs; area/repo; area/scripts; area/skills; kind/design; priority/high; status/closed","design","closed","P0","Skills / MCP / Experts; E2E / Release / Platform; Context / Governance","runtime-protocol-skill-chain-tester; cross-platform-e2e-validator; issue-intelligence-analyst","functional; runtime; e2e","npm run check && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-28T13:45:13.229Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/49","8ad2b5b663343c2f"
"50","design(test): establish the test-regression skill family for Codex and Claude Code","closed","area/repo; area/skills; kind/design; status/closed","design","closed","P1","Runtime / Protocol; Skills / MCP / Experts; Context / Governance","runtime-protocol-skill-chain-tester; issue-intelligence-analyst","functional; runtime","npm run check && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor","","2026-06-28T13:45:13.742Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/50","4137fb81640bcf8a"
"51","外部依赖：调整 GitLab 服务端上传限制，避免 mac/win 安装包被拆成 part 包","opened","area/deploy; area/docs; dependency/external; kind/external-dependency; priority/high; status/in-review","external-dependency","in-review","P0","Projects / GitLab; E2E / Release / Platform; Compliance / Security; Context / Governance","functional-test-case-designer; cross-platform-e2e-validator; compliance-security-tester; issue-intelligence-analyst","functional; integration; e2e; security; contract","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run build:desktop","External dependency acceptance required.","2026-06-29T08:55:36.282Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/51","c3b746daea251deb"
"52","test(uiux): Deepbank Electron 主功能并行 UI/UX 回归与修复编排","closed","area/assistant-ui; area/e2e; area/electron; area/skills; area/ui; kind/test; priority/high; status/closed","test","closed","P0","Assistant; Skills / MCP / Experts; UI / UX; E2E / Release / Platform","ui-product-experience-tester; runtime-protocol-skill-chain-tester; cross-platform-e2e-validator","functional; UI; runtime; e2e","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-28T13:45:14.244Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/52","bc76a021205fa6a0"
"53","test(uiux/artifact-panel): 成果区与文件预览 回归与修复","closed","area/ui; kind/test; status/closed","test","closed","P2","Assistant; UI / UX","ui-product-experience-tester","functional; UI","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local","","2026-06-28T13:45:14.804Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/53","87e18cf4ed4a7824"
"54","test(uiux/assistant-thread): assistant thread 回归与修复","closed","area/assistant-ui; area/e2e; area/electron; area/skills; area/ui; kind/test; status/closed","test","closed","P1","Assistant; Skills / MCP / Experts; UI / UX; E2E / Release / Platform","ui-product-experience-tester; runtime-protocol-skill-chain-tester; cross-platform-e2e-validator","functional; UI; runtime; e2e","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-28T13:45:15.334Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/54","e9f0d4786c38a269"
"55","test(uiux/projects): 项目、workspace、成员、任务结果 回归与修复","closed","area/e2e; area/projects; area/ui; kind/test; status/closed","test","closed","P1","Projects / GitLab; UI / UX; E2E / Release / Platform","functional-test-case-designer; ui-product-experience-tester; cross-platform-e2e-validator","functional; integration; UI; e2e","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run build:desktop","","2026-06-28T13:45:15.840Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/55","3bc1d15a829b2729"
"56","test(uiux/auth-shell): auth shell 回归与修复","closed","area/e2e; area/electron; area/scripts; area/ui; kind/test; status/closed","test","closed","P1","UI / UX; E2E / Release / Platform","ui-product-experience-tester; cross-platform-e2e-validator","functional; UI; e2e","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run build:desktop","","2026-06-28T13:45:16.367Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/56","16d3d33afe11354b"
"57","test(uiux/sidebar-nav): 侧栏导航、会话与工作区入口 回归与修复","closed","area/e2e; area/ui; kind/test; priority/high; status/closed","test","closed","P0","Assistant; UI / UX; E2E / Release / Platform","ui-product-experience-tester; cross-platform-e2e-validator","functional; UI; e2e","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run build:desktop","","2026-06-28T13:45:16.937Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/57","e8fc9ebd456dbef9"
"58","test(uiux/experts-skills): 专家、技能市场与安装/召唤 回归与修复","closed","area/e2e; area/skills; area/ui; kind/test; priority/high; status/closed","test","closed","P0","Skills / MCP / Experts; UI / UX; E2E / Release / Platform","runtime-protocol-skill-chain-tester; ui-product-experience-tester; cross-platform-e2e-validator","functional; runtime; UI; e2e","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-28T13:45:17.538Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/58","234cd33fe4c5c8cc"
"59","test(uiux/experts-skills): 专家、技能 回归与修复","closed","area/e2e; area/skills; area/ui; kind/test; priority/high; status/closed","test","closed","P0","Skills / MCP / Experts; UI / UX; E2E / Release / Platform","runtime-protocol-skill-chain-tester; ui-product-experience-tester; cross-platform-e2e-validator","functional; runtime; UI; e2e","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-28T13:45:18.096Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/59","cc1b540ca28fc186"
"60","chore: add external dependency issue workflow","closed","area/context; area/repo; area/skills; kind/chore; status/closed","chore","closed","P1","Skills / MCP / Experts; Compliance / Security; Context / Governance","runtime-protocol-skill-chain-tester; compliance-security-tester; issue-intelligence-analyst","functional; runtime; security","npm run check && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor","","2026-06-28T13:45:18.634Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/60","c9dd777c33629e06"
"61","chore: align agent context and product docs with milestone final-state contract","closed","area/context; area/docs; area/repo; kind/chore; priority/high; status/closed","chore","closed","P0","Context / Governance","issue-intelligence-analyst","functional","npm run check","","2026-06-28T13:45:19.176Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/61","9ae6998624947d88"
"62","test(uiux/ask-modal): AskUserQuestion 交互 回归与修复","closed","area/e2e; area/electron; area/skills; area/ui; kind/test; status/closed","test","closed","P1","Assistant; Skills / MCP / Experts; UI / UX; E2E / Release / Platform","ui-product-experience-tester; runtime-protocol-skill-chain-tester; cross-platform-e2e-validator","functional; UI; runtime; e2e","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-28T13:45:19.880Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/62","ff630dd44446c082"
"63","test(e2e/local-real): fail fast when ADK source prerequisites are missing","closed","area/e2e; area/runtime; area/scripts; kind/test; status/closed","test","closed","P1","Runtime / Protocol; E2E / Release / Platform","runtime-protocol-skill-chain-tester; cross-platform-e2e-validator","functional; runtime; e2e","npm run check && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-28T13:45:20.461Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/63","4eadc2edf8bf95a0"
"64","design: Lingxi OAuth2 三方资源聚合父项（LLM Connections / MCPHub / SkillHub）","opened","area/docs; area/preload; area/repo; area/server; area/skills; area/ui; kind/design; priority/high; status/ready","design","ready","P0","Skills / MCP / Experts; UI / UX; Compliance / Security; Context / Governance","runtime-protocol-skill-chain-tester; ui-product-experience-tester; compliance-security-tester; issue-intelligence-analyst","functional; runtime; UI; security","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor","Requires explicit real-provider environment.","2026-06-29T11:22:48.949Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/64","c8ea954f41a8ffb2"
"65","feature: remote control server 聚合 Deepbank 平台 LLM connections","closed","area/db; area/electron; area/preload; area/runtime; area/server; area/ui; kind/feature; priority/high; status/closed","feature","closed","P0","Runtime / Protocol; Projects / GitLab; UI / UX","runtime-protocol-skill-chain-tester; functional-test-case-designer; ui-product-experience-tester","functional; runtime; integration; UI","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor","","2026-06-29T11:22:50.528Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/65","9f7ea7f1e5093dbc"
"66","外部依赖: Deepbank 平台 LLM connections API 支持 Lingxi OAuth2","opened","area/docs; area/server; dependency/external; kind/external-dependency; priority/high; status/ready","external-dependency","ready","P0","Compliance / Security; Context / Governance","compliance-security-tester; issue-intelligence-analyst","functional; security; contract","npm run check","External dependency acceptance required.","2026-06-29T11:26:12.364Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/66","ead125436a6eaea7"
"67","feature: remote control server 聚合 MCPHub 用户 MCP 元信息","opened","area/preload; area/projects; area/runtime; area/server; area/ui; kind/feature; priority/high; status/ready","feature","ready","P0","Runtime / Protocol; Skills / MCP / Experts; Projects / GitLab; UI / UX","runtime-protocol-skill-chain-tester; functional-test-case-designer; ui-product-experience-tester","functional; runtime; integration; UI","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor","","2026-06-29T11:22:55.231Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/67","eca267bd9edab3c7"
"68","外部依赖: MCPHub 用户 MCP 元信息 API 支持 Lingxi OAuth2","opened","area/docs; area/server; dependency/external; kind/external-dependency; priority/high; status/ready","external-dependency","ready","P0","Skills / MCP / Experts; Compliance / Security; Context / Governance","runtime-protocol-skill-chain-tester; compliance-security-tester; issue-intelligence-analyst","functional; runtime; security; contract","npm run check && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor","External dependency acceptance required.","2026-06-29T11:26:13.774Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/68","e42baff23be57c8a"
"69","feature: remote control server 聚合 SkillHub 用户技能资源","opened","area/preload; area/runtime; area/server; area/skills; area/ui; kind/feature; priority/high; status/ready","feature","ready","P0","Runtime / Protocol; Skills / MCP / Experts; UI / UX","runtime-protocol-skill-chain-tester; ui-product-experience-tester","functional; runtime; UI","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor","","2026-06-29T11:22:57.658Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/69","24744c18cd271715"
"70","外部依赖: SkillHub 用户技能资源 API 支持 Lingxi OAuth2","opened","area/docs; area/server; area/skills; dependency/external; kind/external-dependency; priority/high; status/ready","external-dependency","ready","P0","Skills / MCP / Experts; Compliance / Security; Context / Governance","runtime-protocol-skill-chain-tester; compliance-security-tester; issue-intelligence-analyst","functional; runtime; security; contract","npm run check && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor","External dependency acceptance required.","2026-06-29T11:26:14.922Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/70","a25e9eb62cafc326"
"71","test(uiux/config-center): 配置中心、LLM/provider、角色/场景 回归与修复","closed","area/e2e; area/ui; kind/test; priority/high; status/closed","test","closed","P0","UI / UX; E2E / Release / Platform","ui-product-experience-tester; cross-platform-e2e-validator","functional; UI; e2e","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run build:desktop","","2026-06-28T13:45:22.067Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/71","7071843aa1c05eee"
"72","bug(uiux/sidebar-brand): logo 与展开侧栏对比度漏检和修复","closed","area/e2e; area/electron; area/ui; kind/bug; priority/high; status/closed","bug","closed","P0","UI / UX; E2E / Release / Platform","ui-product-experience-tester; cross-platform-e2e-validator","functional; UI; e2e; regression","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run build:desktop","","2026-06-29T05:04:35.272Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/72","4cdb6bbdbf3d7c7f"
"73","chore: automate milestone #1 tracker maintenance and note compression","closed","area/repo; area/scripts; kind/chore; status/closed","chore","closed","P1","E2E / Release / Platform; Context / Governance","cross-platform-e2e-validator; issue-intelligence-analyst","functional; e2e","npm run check && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run build:desktop","","2026-06-28T18:57:29.827Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/73","4974150d4e9423ef"
"74","test(uiux/cross-sweep): 跨 viewport / local-release 验证扫尾回归","closed","area/assistant-ui; area/e2e; area/electron; area/skills; area/ui; kind/test; priority/high; status/closed","test","closed","P0","Assistant; Skills / MCP / Experts; UI / UX; E2E / Release / Platform","ui-product-experience-tester; runtime-protocol-skill-chain-tester; cross-platform-e2e-validator","functional; UI; runtime; e2e","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-28T13:45:23.727Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/74","0e4fcef5e274776b"
"75","test(uiux/assistant-config): 助手设置 回归与修复","closed","area/e2e; area/ui; kind/test; priority/high; status/closed","test","closed","P0","Assistant; UI / UX; E2E / Release / Platform","ui-product-experience-tester; cross-platform-e2e-validator","functional; UI; e2e","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run build:desktop","","2026-06-28T13:45:24.456Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/75","2036ccf1d7efac63"
"76","test(uiux/connectors): MCP / connectors 配置 回归与修复","closed","area/e2e; area/ui; kind/test; priority/high; status/closed","test","closed","P0","Skills / MCP / Experts; UI / UX; E2E / Release / Platform","runtime-protocol-skill-chain-tester; ui-product-experience-tester; cross-platform-e2e-validator","functional; runtime; UI; e2e","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-28T13:45:25.100Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/76","805940417f0a2a16"
"77","bug(uiux/cross-sweep-residual): merged lanes still emit artifact/thread/skills findings","closed","area/assistant-ui; area/e2e; area/electron; area/skills; area/ui; kind/bug; priority/high; status/closed","bug","closed","P0","Assistant; Skills / MCP / Experts; UI / UX; E2E / Release / Platform","ui-product-experience-tester; runtime-protocol-skill-chain-tester; cross-platform-e2e-validator","functional; UI; runtime; e2e; regression","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-28T13:45:25.670Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/77","d0ea73c277db428b"
"78","design(uiux): Deepbank Electron 视觉系统统一与设计治理编排","opened","area/assistant-ui; area/e2e; area/repo; area/skills; area/ui; kind/design; priority/high; status/ready","design","ready","P0","Assistant; Skills / MCP / Experts; UI / UX; E2E / Release / Platform; Context / Governance","ui-product-experience-tester; runtime-protocol-skill-chain-tester; cross-platform-e2e-validator; issue-intelligence-analyst","functional; UI; runtime; e2e","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-29T10:57:45.857Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/78","659a1949a039fe27"
"79","design(uiux/governance): 视觉审查 skill、issue-intake 与 GitLab 契约","closed","area/context; area/repo; area/skills; kind/design; priority/high; status/closed","design","closed","P0","Skills / MCP / Experts; Projects / GitLab; UI / UX; Context / Governance","runtime-protocol-skill-chain-tester; functional-test-case-designer; ui-product-experience-tester; issue-intelligence-analyst","functional; runtime; integration; UI","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor","","2026-06-28T13:45:26.162Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/79","454a01142c4d8e9d"
"80","enhancement(uiux/foundation): 主题 token、字体、色板与层级语义统一","opened","area/assistant-ui; area/ui; kind/enhancement; priority/high; status/ready","enhancement","ready","P0","Assistant; UI / UX","ui-product-experience-tester","functional; UI","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local","","2026-06-28T13:46:16.801Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/80","6adc6379560b95dc"
"81","enhancement(uiux/primitives): 共享组件原语与状态表达标准化","opened","area/assistant-ui; area/ui; kind/enhancement; priority/high; status/ready","enhancement","ready","P0","Assistant; UI / UX","ui-product-experience-tester","functional; UI","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local","","2026-06-28T13:46:18.096Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/81","c2b7caba42b54211"
"82","enhancement(uiux/app-shell): 登录壳、侧栏、状态条与全局骨架统一","opened","area/electron; area/ui; kind/enhancement; status/ready","enhancement","ready","P2","UI / UX","ui-product-experience-tester","functional; UI","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local","","2026-06-29T10:57:45.825Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/82","cdec2a4f47af2044"
"83","enhancement(uiux/assistant-workbench): thread、composer、artifact、AskUserQuestion 统一","opened","area/assistant-ui; area/ui; kind/enhancement; status/ready","enhancement","ready","P2","Assistant; UI / UX","ui-product-experience-tester","functional; UI","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local","","2026-06-29T08:05:17.999Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/83","27c18e636d17fc32"
"84","enhancement(uiux/projects-workspace): 项目列表与 workspace 视觉体系统一","opened","area/projects; area/ui; kind/enhancement; status/ready","enhancement","ready","P1","Projects / GitLab; UI / UX","functional-test-case-designer; ui-product-experience-tester","functional; integration; UI","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local","","2026-06-28T18:00:07.280Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/84","032a7787afaa7465"
"85","enhancement(uiux/experts-skills): 专家与技能市场视觉体系统一","opened","area/skills; area/ui; kind/enhancement; status/ready","enhancement","ready","P2","Skills / MCP / Experts; UI / UX","runtime-protocol-skill-chain-tester; ui-product-experience-tester","functional; runtime; UI","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor","","2026-06-29T10:42:36.809Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/85","ca0ffa4fce27644c"
"86","enhancement(uiux/config-surfaces): AssistantConfig、ConfigCenter、Connectors 统一","opened","area/skills; area/ui; kind/enhancement; status/ready","enhancement","ready","P2","Assistant; Skills / MCP / Experts; UI / UX","ui-product-experience-tester; runtime-protocol-skill-chain-tester","functional; UI; runtime","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor","","2026-06-29T03:32:23.782Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/86","0b869d0e91a78164"
"87","test(uiux/audit-convergence): 可访问性残差与审计误报治理","opened","area/e2e; area/ui; kind/test; priority/high; status/ready","test","ready","P0","UI / UX; E2E / Release / Platform; Context / Governance","ui-product-experience-tester; cross-platform-e2e-validator; issue-intelligence-analyst","functional; UI; e2e","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run build:desktop","","2026-06-29T08:05:17.904Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/87","203b015dac3b8caa"
"88","refactor(runtime): conditionally retire Codex OpenAI-compatible protocol proxy","opened","area/electron; area/runtime; area/server; area/ui; kind/refactor; status/blocked","refactor","blocked","P1","Runtime / Protocol; UI / UX","runtime-protocol-skill-chain-tester; ui-product-experience-tester","functional; runtime; UI","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor","Issue status is blocked.","2026-06-29T11:23:00.570Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/88","923c184e5e3d8cd7"
"89","bug(release/mac): packaged DMG misses Claude darwin binary and expert summon opens broken chat layout","closed","area/assistant-ui; area/e2e; area/electron; area/runtime; area/scripts; area/skills; area/ui; kind/bug; priority/high; status/closed","bug","closed","P0","Assistant; Runtime / Protocol; Skills / MCP / Experts; UI / UX; E2E / Release / Platform","ui-product-experience-tester; runtime-protocol-skill-chain-tester; cross-platform-e2e-validator","functional; UI; runtime; e2e; regression","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-28T13:45:26.705Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/89","a621313c3960411d"
"90","feature(uiux/assets): 基于 assets/lib/ui 重建组件体系与主题系统","closed","area/assistant-ui; area/docs; area/e2e; area/electron; area/ui; kind/feature; priority/high; status/closed","feature","closed","P0","Assistant; UI / UX; E2E / Release / Platform; Context / Governance","ui-product-experience-tester; cross-platform-e2e-validator; issue-intelligence-analyst","functional; UI; e2e","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run build:desktop","","2026-06-28T13:45:27.243Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/90","05c7fa37ad2ef48d"
"91","bug(remote-runtime): keep raw ADK artifacts out of chat transcripts","closed","area/assistant-ui; area/e2e; area/projects; area/server; area/ui; kind/bug; status/closed","bug","closed","P0","Assistant; Runtime / Protocol; Projects / GitLab; UI / UX; E2E / Release / Platform","ui-product-experience-tester; runtime-protocol-skill-chain-tester; functional-test-case-designer; cross-platform-e2e-validator","functional; UI; runtime; integration; e2e; regression","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-28T13:45:27.855Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/91","ee6f869fe4ae27ec"
"92","design(projects): orchestrate GitLab repo-based project module productization","opened","area/db; area/docs; area/projects; area/runtime; area/server; area/skills; area/ui; kind/design; priority/high; status/in-progress","design","in-progress","P0","Runtime / Protocol; Skills / MCP / Experts; Projects / GitLab; UI / UX; Context / Governance","runtime-protocol-skill-chain-tester; functional-test-case-designer; ui-product-experience-tester; issue-intelligence-analyst","functional; runtime; integration; UI","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor","Lingxi OAuth2 to GitLab token exchange dependency.","2026-06-29T10:42:38.971Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/92","8eb868824dd7f378"
"93","feature(projects/gitlab): define GitLab-backed project domain model and API contract","closed","area/db; area/docs; area/preload; area/projects; area/server; area/ui; kind/feature; status/closed","feature","closed","P1","Projects / GitLab; UI / UX; Context / Governance","functional-test-case-designer; ui-product-experience-tester; issue-intelligence-analyst","functional; integration; UI","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local","","2026-06-28T19:27:01.344Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/93","875d80fb4eb087c8"
"94","feature(projects/gitlab): implement GitLab repo/file/branch/MR adapter and .deepbank/project.yaml","closed","area/docs; area/projects; area/runtime; area/server; kind/feature; status/closed","feature","closed","P1","Runtime / Protocol; Projects / GitLab; Context / Governance","runtime-protocol-skill-chain-tester; functional-test-case-designer; issue-intelligence-analyst","functional; runtime; integration","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor","","2026-06-28T19:27:01.374Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/94","063b992d7a89ffce"
"95","feature(projects/gitlab): map plans, activity, and members to GitLab issues/events/members","closed","area/db; area/projects; area/server; area/ui; kind/feature; status/closed","feature","closed","P1","Projects / GitLab; UI / UX","functional-test-case-designer; ui-product-experience-tester","functional; integration; UI","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local","","2026-06-28T19:27:01.407Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/95","c2aac90201d121a9"
"96","feature(runtime/projects): provision project runtimes with ADK workspace repos","closed","area/deploy; area/projects; area/runtime; area/server; kind/feature; status/closed","feature","closed","P1","Runtime / Protocol; Projects / GitLab; E2E / Release / Platform","runtime-protocol-skill-chain-tester; functional-test-case-designer; cross-platform-e2e-validator","functional; runtime; integration; e2e","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","Lingxi OAuth2 to GitLab token exchange dependency.","2026-06-28T19:27:01.434Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/96","ad926e94afd77588"
"97","feature(skills/projects): materialize repo-owned Claude/Codex skills and MCP config","closed","area/projects; area/runtime; area/server; area/skills; kind/feature; status/closed","feature","closed","P1","Runtime / Protocol; Skills / MCP / Experts; Projects / GitLab","runtime-protocol-skill-chain-tester; functional-test-case-designer","functional; runtime; integration","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor","","2026-06-29T11:22:49.759Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/97","fe38d38d4c6af8fa"
